City,Latitude,Longitude,Maximum_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
jaciara,-15.9653,-54.9683,73.83,27.0,52.0,2.53,BR,1627772143.0
alice springs,-23.7,133.8833,54.95,76.0,0.0,5.75,AU,1627771932.0
shenkursk,62.1091,42.896,52.99,98.0,92.0,4.63,RU,1627772143.0
talcahuano,-36.7167,-73.1167,53.28,71.0,0.0,8.05,CL,1627772144.0
north platte,41.1239,-100.7654,74.98,76.0,97.0,1.99,US,1627772144.0
poso,-1.3959,120.7524,78.12,80.0,26.0,4.5,ID,1627772145.0
hokitika,-42.7167,170.9667,54.45,82.0,100.0,6.15,NZ,1627772145.0
komsomolskiy,40.4272,71.7189,79.52,38.0,51.0,4.61,UZ,1627772059.0
itu,-23.2642,-47.2992,59.92,68.0,86.0,8.99,BR,1627772145.0
college,64.8569,-147.8028,77.67,45.0,1.0,3.44,US,1627772146.0
nouadhibou,20.931,-17.0347,69.78,88.0,5.0,18.41,MR,1627772146.0
katsuura,35.1333,140.3,84.31,77.0,80.0,3.91,JP,1627772100.0
pizarro,4.9533,-77.366,80.73,83.0,72.0,8.48,CO,1627772147.0
russkaya polyana,49.417,31.9201,71.73,63.0,1.0,3.65,UA,1627772147.0
japura,-0.3167,102.35,73.76,94.0,94.0,0.78,ID,1627772148.0
nyrob,60.733,56.7202,61.61,98.0,100.0,5.93,RU,1627772148.0
pevek,69.7008,170.3133,36.81,78.0,94.0,8.37,RU,1627772149.0
westport,41.1415,-73.3579,76.98,51.0,20.0,5.01,US,1627771906.0
planaltina,-15.4528,-47.6142,75.49,52.0,93.0,5.14,BR,1627772149.0
sakaiminato,35.55,133.2333,78.78,83.0,20.0,3.44,JP,1627772149.0
nikolskoye,59.7035,30.7861,62.49,93.0,36.0,5.88,RU,1627772031.0
san patricio,28.017,-97.5169,95.72,57.0,62.0,16.91,US,1627771913.0
kieta,-6.2167,155.6333,83.44,72.0,25.0,6.46,PG,1627772150.0
invermere,50.5167,-116.0354,100.35,13.0,32.0,0.78,CA,1627772151.0
san pedro,14.35,121.0167,82.35,83.0,75.0,8.05,PH,1627772151.0
poltavka,54.3663,71.7632,62.85,81.0,100.0,2.26,RU,1627772151.0
dien bien,,,,,,,,
puerto cortes,,,,,,,,
denpasar,-8.65,115.2167,78.46,89.0,20.0,9.22,ID,1627772054.0
camacha,33.0833,-16.3333,67.42,73.0,75.0,10.36,PT,1627772152.0
saint-augustin,51.226,-58.6502,55.38,86.0,100.0,19.22,CA,1627772153.0
chosica,-11.9431,-76.7094,54.84,59.0,3.0,0.81,PE,1627772153.0
shache,38.4167,77.2406,80.69,33.0,100.0,18.3,CN,1627772154.0
a,,,,,,,,
vila franca do campo,37.7167,-25.4333,72.01,91.0,48.0,5.37,PT,1627772155.0
vaitupu,,,,,,,,
horadiz,39.4488,47.3353,70.57,77.0,95.0,5.95,AZ,1627772155.0
malanje,-9.5402,16.341,68.11,31.0,0.0,4.5,AO,1627772155.0
burica,,,,,,,,
kyra,49.5776,111.9753,56.8,82.0,1.0,2.93,RU,1627772156.0
ketchikan,55.3422,-131.6461,71.91,66.0,30.0,6.04,US,1627772156.0
wucheng,29.6008,118.175,77.25,92.0,67.0,0.98,CN,1627772157.0
krasnoselkup,65.7,82.4667,50.38,76.0,43.0,7.07,RU,1627772157.0
ulkan,57.243,107.3223,61.48,53.0,0.0,3.8,RU,1627772158.0
narsaq,60.9167,-46.05,48.76,76.0,55.0,4.07,GL,1627772158.0
port hardy,50.6996,-127.4199,64.58,77.0,20.0,14.97,CA,1627771906.0
sanming,26.2486,117.6186,78.84,94.0,87.0,1.39,CN,1627772159.0
strathmiglo,56.2776,-3.2647,56.64,90.0,100.0,1.72,GB,1627772159.0
auki,-8.7676,160.7034,79.52,80.0,100.0,5.61,SB,1627772159.0
grand centre,,,,,,,,
kostomuksha,64.571,30.5767,51.24,95.0,49.0,1.36,RU,1627772160.0
george town,5.4112,100.3354,78.73,93.0,20.0,1.01,MY,1627772161.0
sistranda,63.7256,8.834,51.91,74.0,100.0,14.99,NO,1627772161.0
ambulu,-8.345,113.6058,72.91,89.0,50.0,3.67,ID,1627772161.0
khuzhir,53.1939,107.3397,56.53,87.0,59.0,8.86,RU,1627772162.0
sadsalan,6.8231,124.6222,77.95,86.0,84.0,2.37,PH,1627772162.0
oulu,65.0124,25.4682,53.71,96.0,75.0,1.14,FI,1627771932.0
korla,41.7597,86.1469,70.56,39.0,96.0,18.14,CN,1627772163.0
shwebo,22.5667,95.7,78.48,81.0,100.0,10.85,MM,1627772163.0
aracati,-4.5617,-37.7697,80.24,69.0,49.0,11.59,BR,1627772163.0
haukipudas,65.1765,25.3523,53.65,96.0,73.0,5.5,FI,1627772164.0
vrangel,42.7297,133.0839,76.26,82.0,44.0,20.29,RU,1627772164.0
santa cruz,-17.8,-63.1667,75.25,38.0,20.0,11.5,BO,1627772165.0
sao miguel do tapuio,-5.5036,-41.3233,78.85,35.0,78.0,5.41,BR,1627771991.0
bilma,18.6853,12.9164,94.39,15.0,20.0,5.08,NE,1627772165.0
kidal,18.4411,1.4078,90.36,36.0,64.0,3.85,ML,1627772166.0
marzuq,14.4,46.4667,76.89,65.0,37.0,4.92,YE,1627772166.0
bitung,1.4451,125.1824,74.25,84.0,19.0,7.14,ID,1627772166.0
cidreira,-30.1811,-50.2056,57.16,85.0,9.0,14.99,BR,1627772167.0
quimper,48.0,-4.1,58.03,100.0,75.0,4.61,FR,1627772168.0
maxixe,-23.8597,35.3472,61.95,83.0,0.0,4.14,MZ,1627772107.0
suntar,62.1444,117.6319,66.74,48.0,30.0,2.68,RU,1627772168.0
tura,25.5198,90.2201,73.81,99.0,100.0,3.36,IN,1627772169.0
cururupu,-1.8283,-44.8683,74.1,91.0,47.0,1.88,BR,1627772045.0
limpapa,7.1197,121.9106,78.69,76.0,41.0,5.03,PH,1627772169.0
whitecourt,54.1502,-115.6855,83.44,47.0,1.0,11.5,CA,1627772170.0
lujiang,31.2581,117.2817,81.97,82.0,0.0,1.9,CN,1627772170.0
pangnirtung,66.1451,-65.7125,52.81,62.0,100.0,4.0,CA,1627771914.0
sawakin,19.1059,37.3321,89.4,56.0,44.0,15.75,SD,1627772170.0
marystown,47.1666,-55.1483,63.86,100.0,36.0,5.99,CA,1627772171.0
gurgan,,,,,,,,
ati,13.2154,18.3353,78.6,79.0,80.0,7.52,TD,1627772171.0
utiroa,,,,,,,,
christchurch,-43.5333,172.6333,53.91,83.0,90.0,8.01,NZ,1627772023.0
nueva armenia,15.7956,-86.4985,85.95,88.0,97.0,5.61,HN,1627772172.0
dianopolis,,,,,,,,
blackwater,-23.5833,148.8833,66.43,82.0,33.0,7.07,AU,1627772173.0
jalu,29.0331,21.5482,88.36,16.0,0.0,10.8,LY,1627772173.0
pechenga,69.5259,31.1703,49.06,92.0,100.0,1.05,RU,1627772173.0
tanete,-3.9443,119.7848,74.73,91.0,96.0,2.8,ID,1627772174.0
kikwit,-5.041,18.8162,76.98,25.0,5.0,3.91,CD,1627772174.0
khandyga,62.6667,135.6,66.97,44.0,1.0,2.53,RU,1627772175.0
nizwa,22.9333,57.5333,87.39,52.0,36.0,2.51,OM,1627772175.0
gardelegen,52.5252,11.3952,62.76,91.0,21.0,10.04,DE,1627772175.0
isla mujeres,21.2311,-86.731,89.17,70.0,0.0,9.73,MX,1627772176.0
shubarshi,48.5872,57.1869,76.06,11.0,0.0,4.76,KZ,1627772176.0
byron bay,-28.65,153.6167,69.06,66.0,4.0,10.78,AU,1627772176.0
rio cuarto,-33.1307,-64.3499,55.17,38.0,0.0,9.22,AR,1627772177.0
viligili,,,,,,,,
wadi musa,30.3222,35.4793,72.34,33.0,0.0,3.6,JO,1627772177.0
copparo,44.893,11.8249,84.56,76.0,24.0,5.03,IT,1627772178.0
meybod,32.2501,54.0166,91.42,19.0,51.0,3.71,IR,1627772178.0
dali,25.7,100.1833,60.03,88.0,100.0,2.8,CN,1627772179.0
raudeberg,61.9875,5.1352,54.27,83.0,93.0,28.43,NO,1627772179.0
koundara,12.4833,-13.3,73.38,97.0,97.0,6.87,GN,1627772179.0
nyurba,63.2842,118.3319,67.26,48.0,3.0,2.33,RU,1627772180.0
amarkantak,22.6667,81.75,67.32,94.0,100.0,8.21,IN,1627772180.0
bani walid,31.7566,13.9942,81.7,27.0,0.0,2.15,LY,1627772181.0
tabou,4.423,-7.3528,76.33,86.0,97.0,10.07,CI,1627772181.0
barra do corda,-5.5,-45.25,81.9,35.0,21.0,3.44,BR,1627772181.0
lagos,6.5833,3.75,79.12,90.0,84.0,4.18,NG,1627771959.0
rungata,,,,,,,,
prince george,53.9166,-122.753,88.25,36.0,1.0,6.91,CA,1627772182.0
oriximina,-1.7656,-55.8661,73.35,94.0,99.0,1.81,BR,1627771993.0
cabo san lucas,22.8909,-109.9124,95.5,65.0,100.0,1.01,MX,1627772182.0
saint anthony,45.0205,-93.218,85.93,40.0,40.0,4.0,US,1627772183.0
kachug,53.9606,105.8817,58.12,91.0,83.0,2.75,RU,1627772184.0
alofi,-19.0595,-169.9187,75.09,94.0,97.0,12.66,NU,1627772184.0
den helder,52.9599,4.7593,63.99,88.0,90.0,7.0,NL,1627772184.0
acarau,-2.8856,-40.12,78.73,80.0,91.0,16.96,BR,1627772185.0
amos,48.5669,-78.1162,68.27,70.0,95.0,4.68,CA,1627772100.0
urdzhar,,,,,,,,
mogadishu,2.0371,45.3438,75.88,83.0,94.0,18.86,SO,1627772186.0
buenos aires,-34.6132,-58.3772,57.09,71.0,0.0,2.3,AR,1627772186.0
gillette,44.2911,-105.5022,84.24,28.0,46.0,10.0,US,1627771903.0
rugeley,52.7593,-1.9369,60.49,83.0,71.0,6.04,GB,1627772187.0
yaan,7.3833,8.5667,72.7,82.0,90.0,4.97,NG,1627772187.0
matsanga,,,,,,,,
stepnyak,52.8339,70.7803,64.04,73.0,99.0,3.56,KZ,1627772188.0
maningrida,-12.0667,134.2667,75.7,81.0,25.0,8.88,AU,1627772188.0
strezhevoy,60.7333,77.5889,44.58,95.0,10.0,4.16,RU,1627772188.0
bada,51.392,109.8717,57.16,96.0,59.0,3.78,RU,1627772189.0
kasongo,-4.45,26.6667,73.29,36.0,57.0,3.69,CD,1627772189.0
shiyan,32.6475,110.7781,77.95,71.0,0.0,4.45,CN,1627772190.0
half moon bay,37.4636,-122.4286,94.75,65.0,40.0,1.01,US,1627772190.0
manicore,-5.8092,-61.3003,84.15,58.0,0.0,2.3,BR,1627772190.0
naftah,,,,,,,,
abu dhabi,24.4667,54.3667,91.51,84.0,43.0,3.44,AE,1627772191.0
dunedin,-45.8742,170.5036,52.81,79.0,100.0,5.99,NZ,1627772091.0
mayo,38.8876,-76.5119,81.37,64.0,64.0,4.0,US,1627772191.0
xining,36.6167,101.7667,56.05,71.0,5.0,2.82,CN,1627772192.0
cangzhou,38.3167,116.8667,73.53,88.0,97.0,3.65,CN,1627772192.0
novyy urengoy,66.0833,76.6333,50.72,81.0,80.0,6.96,RU,1627772193.0
deputatskiy,69.3,139.9,43.65,74.0,100.0,6.96,RU,1627772193.0
verkhoyansk,67.5447,133.385,68.52,31.0,45.0,9.6,RU,1627772193.0
mayumba,-3.432,10.6554,71.98,88.0,10.0,3.89,GA,1627772194.0
odweyne,9.4092,45.064,69.35,49.0,79.0,12.64,SO,1627772194.0
pindushi,62.9152,34.58,54.81,96.0,37.0,4.09,RU,1627772195.0
peniche,39.3558,-9.3811,64.72,85.0,26.0,13.85,PT,1627772195.0
baykit,61.67,96.37,57.61,77.0,4.0,1.21,RU,1627772195.0
ixtapa,20.7,-105.2,87.22,78.0,95.0,4.0,MX,1627772191.0
killybegs,54.6333,-8.45,55.45,70.0,100.0,12.17,IE,1627772196.0
dickinson,29.4608,-95.0513,94.21,71.0,62.0,3.0,US,1627772196.0
sao joao da barra,-21.6403,-41.0511,66.76,62.0,99.0,10.83,BR,1627772089.0
zaozerne,45.1582,33.2787,73.94,67.0,0.0,6.98,UA,1627772197.0
tumannyy,,,,,,,,
dawlatabad,36.4141,64.9053,77.95,19.0,0.0,8.86,AF,1627772198.0
shestakovo,56.4915,103.96,61.07,76.0,82.0,2.57,RU,1627772198.0
angoche,-16.2325,39.9086,73.04,76.0,30.0,12.15,MZ,1627771921.0
brae,60.3964,-1.353,51.71,81.0,92.0,18.19,GB,1627772199.0
ranong,9.9658,98.6348,79.84,86.0,100.0,13.04,TH,1627772199.0
mount gambier,-37.8333,140.7667,40.91,100.0,12.0,9.22,AU,1627772199.0
rosarito,32.3333,-117.0333,95.94,57.0,4.0,14.32,MX,1627772200.0
liwale,-9.7667,37.9333,69.13,67.0,88.0,4.63,TZ,1627772200.0
maltahohe,-24.8333,16.9833,51.4,28.0,0.0,8.84,NA,1627772200.0
cooma,-36.2333,149.1333,44.37,93.0,90.0,9.22,AU,1627772201.0
saleaula,,,,,,,,
walvis bay,-22.9575,14.5053,72.55,15.0,0.0,13.8,NA,1627772201.0
pidhorodne,48.5753,35.1068,69.08,52.0,49.0,3.09,UA,1627772202.0
grandview,38.8858,-94.533,80.28,86.0,100.0,1.01,US,1627772202.0
waw,7.7029,27.9953,69.51,96.0,85.0,2.04,SS,1627772203.0
pacific grove,36.6177,-121.9166,90.57,78.0,33.0,8.99,US,1627772203.0
umm lajj,25.0213,37.2685,86.0,61.0,100.0,8.55,SA,1627772203.0
caraz,-9.0486,-77.81,67.19,59.0,65.0,3.87,PE,1627772204.0
oranjemund,-28.55,16.4333,64.27,39.0,0.0,1.95,NA,1627771963.0
sault sainte marie,46.5168,-84.3333,66.49,85.0,90.0,6.91,CA,1627772098.0
anadyr,64.75,177.4833,48.7,57.0,20.0,5.99,RU,1627772204.0
tazmalt,36.3868,4.3989,83.43,47.0,99.0,2.55,DZ,1627772205.0
bafata,12.1667,-14.75,75.07,95.0,100.0,7.27,GW,1627772205.0
tazovskiy,67.4667,78.7,49.51,84.0,97.0,6.89,RU,1627772206.0
yubari,43.0378,141.9578,78.93,77.0,69.0,2.98,JP,1627772206.0
shchelyayur,,,,,,,,
wattegama,6.7989,81.4808,75.78,78.0,98.0,4.05,LK,1627772207.0
stekolnyy,,,,,,,,
chadan,51.2833,91.5833,53.8,86.0,100.0,1.14,RU,1627772207.0
chernyshevskiy,63.0128,112.4714,63.28,49.0,28.0,2.68,RU,1627772208.0
somotillo,13.0433,-86.9064,95.14,46.0,81.0,11.21,NI,1627772208.0
ostrovnoy,68.0531,39.5131,46.36,96.0,97.0,4.72,RU,1627772194.0
saravan,39.7196,45.6483,65.05,75.0,60.0,6.67,AM,1627772209.0
labuhan,-6.8844,112.2051,75.13,85.0,67.0,5.86,ID,1627772209.0
talaya,61.3833,152.75,60.75,44.0,48.0,4.56,RU,1627772210.0
te anau,-45.4167,167.7167,47.89,96.0,99.0,1.59,NZ,1627772210.0
ghamarwin,,,,,,,,
watertown,42.3709,-71.1828,74.89,50.0,68.0,1.01,US,1627772211.0
shumerlya,55.5005,46.4129,65.12,69.0,47.0,4.56,RU,1627772211.0
barstow,34.8986,-117.0228,99.52,23.0,60.0,2.51,US,1627772211.0
dolbeau,,,,,,,,
lere,10.387,8.5726,68.54,98.0,85.0,4.16,NG,1627772212.0
pontian kecil,1.4801,103.3899,80.73,81.0,100.0,2.82,MY,1627772212.0
adre,13.4667,22.2,70.61,78.0,100.0,7.65,TD,1627772213.0
naryan-mar,67.6713,53.087,54.28,94.0,100.0,9.82,RU,1627772213.0
north bend,43.4065,-124.2243,81.25,100.0,93.0,1.01,US,1627772214.0
sinnamary,5.3833,-52.95,79.48,83.0,92.0,8.57,GF,1627772214.0
portland,45.5234,-122.6762,91.45,34.0,99.0,7.38,US,1627772112.0
shenjiamen,29.9576,122.298,80.4,90.0,91.0,10.67,CN,1627772215.0
pacifica,37.6138,-122.4869,94.55,77.0,20.0,3.0,US,1627771946.0
kiama,-34.6833,150.8667,73.58,46.0,1.0,1.99,AU,1627772215.0
phan rang,,,,,,,,
saint george,37.1041,-113.5841,95.47,31.0,1.0,23.02,US,1627772216.0
vandra,58.6481,25.0361,56.17,98.0,19.0,5.3,EE,1627772216.0
kloulklubed,7.0419,134.2556,84.04,73.0,92.0,9.8,PW,1627772217.0
boca do acre,-8.7522,-67.3978,75.83,40.0,31.0,0.78,BR,1627772217.0
forestville,38.8451,-76.875,80.49,59.0,1.0,1.01,US,1627772218.0
diapaga,12.0708,1.7889,74.16,92.0,94.0,7.67,BF,1627772218.0
simao,22.7886,100.9748,65.8,99.0,100.0,0.89,CN,1627772218.0
ayan,56.45,138.1667,59.29,64.0,0.0,9.19,RU,1627771935.0
wanning,18.8003,110.3967,83.43,77.0,100.0,14.29,CN,1627772219.0
abong mbang,3.9833,13.1833,68.04,97.0,94.0,2.95,CM,1627772219.0
fort nelson,58.8053,-122.7002,87.39,27.0,20.0,2.3,CA,1627772220.0
amursk,50.2261,136.8994,53.71,84.0,100.0,17.0,RU,1627772220.0
palora,-1.7,-77.9333,73.38,85.0,94.0,1.1,EC,1627772221.0
saint-pierre,-21.3393,55.4781,65.84,75.0,0.0,9.22,RE,1627772221.0
warmbad,-28.45,18.7333,60.08,20.0,2.0,10.22,NA,1627772221.0
sur,22.5667,59.5289,88.3,61.0,43.0,7.9,OM,1627772222.0
san antonio,29.4241,-98.4936,97.57,51.0,1.0,9.22,US,1627771712.0
udachnyy,66.4167,112.4,70.7,34.0,5.0,4.72,RU,1627772222.0
vila velha,-20.3297,-40.2925,62.55,94.0,90.0,3.44,BR,1627772223.0
wawa,9.9022,4.4192,74.28,91.0,94.0,5.28,NG,1627772223.0
asfi,32.2994,-9.2372,66.9,77.0,0.0,20.83,MA,1627772224.0
bongabong,7.2224,125.8734,79.34,88.0,100.0,1.12,PH,1627772224.0
victoria point,-27.5833,153.3,69.19,84.0,0.0,1.99,AU,1627772224.0
tezu,27.9167,96.1667,75.83,99.0,99.0,2.33,IN,1627772052.0
ust-kuyga,70.0167,135.6,46.6,75.0,97.0,8.99,RU,1627772225.0
albanel,48.8832,-72.4487,68.14,55.0,87.0,11.5,CA,1627772225.0
mandalgovi,45.7625,106.2708,59.07,68.0,6.0,3.04,MN,1627772226.0
revda,56.801,59.9303,61.61,96.0,99.0,8.3,RU,1627772226.0
mount pleasant,32.7941,-79.8626,87.19,92.0,40.0,0.0,US,1627772227.0
hillsborough,37.5741,-122.3794,94.15,66.0,40.0,5.01,US,1627772227.0
vangaindrano,-23.35,47.6,62.4,79.0,39.0,0.09,MG,1627772227.0
eyl,7.9803,49.8164,75.99,74.0,65.0,16.62,SO,1627772228.0
taltal,-25.4,-70.4833,62.08,69.0,20.0,6.91,CL,1627772228.0
umm kaddadah,13.6017,26.6876,81.18,61.0,61.0,20.02,SD,1627772229.0
yarada,17.65,83.2667,84.52,70.0,75.0,9.22,IN,1627772229.0
mrirt,,,,,,,,
turukhansk,65.8167,87.9833,55.44,65.0,100.0,4.54,RU,1627772120.0
necochea,-38.5473,-58.7368,44.04,75.0,63.0,7.9,AR,1627772230.0
marcona,,,,,,,,
ewa beach,21.3156,-158.0072,84.15,66.0,6.0,23.47,US,1627772230.0
praxedis guerrero,31.3667,-106.0167,96.28,27.0,74.0,6.93,MX,1627772231.0
beloha,-25.1667,45.05,63.18,75.0,0.0,11.32,MG,1627772231.0
salinopolis,-0.6136,-47.3561,77.43,86.0,31.0,11.65,BR,1627771936.0
pilar,-9.5972,-35.9567,75.13,94.0,18.0,7.45,BR,1627772232.0
huron,41.1501,-82.5499,77.68,79.0,69.0,5.03,US,1627772232.0
beeville,28.4008,-97.7483,95.29,63.0,1.0,11.5,US,1627772233.0
